등급,이름,타입,직업,포격,충파,지원,백병,박물,심미,척후,보급,구매,판매,협상,교환,Lv 10 직업 효과,Lv 10 직업 효과,Lv 30 인물 효과,Lv 30 인물 효과,LV 50 직업 효과,LV 50 직업 효과,LV 70 인물 효과,LV 70 인물 효과,잠재 효과 1,잠재 효과 2,인연 연대기 추가 효과 1,인연 연대기 추가 효과 2,교전 기술 LV 1,교전 기술 LV 50,인연 연대기 추가 기술
S,심만삼,교역,투자가,107,38,85,58,178,128,156,192,183,133,137,353,포격 방어력 증가,무기류 거래 전문,향신료 구매 할인,포격 치명타 저항 증폭,화물 도난 해소,무기류 구매 할인,포격 치명타 피해 저항,무기류 판매 할증 LV2,다정한 협상,거래의 해결사,,,기술 봉쇄,포격 위력 강화 LV2,
S,아고스티노 바르바리고,교역,베네치아 총독,65,86,113,43,181,159,136,196,373,431,233,215,총포류 거래 전문,향신료 판매 할증,향신료 거래 우대,매력적인 제안,신들린 수완,보석 판매 할증,충파 공격력 증폭,총포류 판매 할증 LV2,향신료 판매 달인,향신료 거래 달인,,,정밀 충파: 혼란 유발,행동 봉쇄 LV2,
S,알레시아 세레티,전투,타격대,156,178,114,417,36,57,73,111,174,133,135,185,백병 공격력 증가,백병 공격력 증폭,섬유 구매 할인,백병 시 추가 고정 피해,백병 명중 증가,백병 방어력 증폭,굳건한 마음,백병 시 추가 백병 LV2,백병 치명타 피해 증폭,백병 시 추가 고정 피해 심화,,,백병: 방어 무시,정밀 백병: 혼란 유발 LV2,
S,아르드비,교역,보석상,61,103,85,37,132,148,199,163,177,124,398,132,충파 공격력 증가,보석 거래 전문,신들린 수완,신출귀몰,귀금속 거래 전문,보석 구매 할인,시작 시 상급 의술,천해 인양 기술자,보석 판매 달인,염료 거래 달인,,,추가 기동력 감소,강화 백병: 키 손상 유발,
S,아멜리아 셜랜드,모험,통역가,60,104,88,39,185,396,162,121,195,124,173,137,충파 치명타 발생 증가,친절한 이방인,신들린 수완,포격 치명타 피해 저항,낚시꾼,해적 사냥,심해 튼튼한 로프,심해 인양 보물 사냥꾼 LV2,꼼꼼한 탐험가,채집 심화,,,충파 위력 강화,정화: 전투태세 LV2,
S,아미나,전투,타격대,146,167,115,398,37,57,75,104,180,125,140,177,백병 공격력 증가,백병 공격력 증폭,무기류 구매 할인,방어 무시 백병,백병 명중 증가,백병 방어력 증폭,귀마개 착용,백병 시 추가 백병,백병 치명타 피해 증폭,극독 백병,,,정밀 백병: 혼란 유발,백병: 방어 무시,
S,아이든 레이스,전투,특공대,150,174,115,398,163,172,122,150,55,43,93,88,백병 회피 증가,백병 회피 증폭,보석 판매 할증,방어 무시 백병,백병 명중 증가,백병 명중 증폭,기상 관측가,선원 긴급 치료,백병 공격력 증폭 심화,백병 치명타 피해 증폭,,,정밀 백병: 혼란 유발,난전 백병: 중독 유발,
S,아이작 뉴턴,모험,왕립학회장,106,44,90,63,460,363,230,212,184,132,207,148,충파 공격력 증폭,해적 사냥,충파 치명타 저항 증폭,신들린 수완,채집의 달인,맹수 사냥,천해 인양 전문가,심해 인양 전문가 LV2,노련한 탐험가,생물 채집,,,충파: 키 손상 유발,정밀 충파: 혼란 유발 LV2,
S,안드레스 데우르다네타,모험,고고학자,59,106,86,37,403,150,179,118,172,148,194,113,백병 방어력 증가,재력 지향,능숙한 노 젓기,혼란 백병,해양 생태 연구,명성 지향,이동 전 기동력 소모 감소,명성 추구,맹수 척결,채집 심화,,,백병 공격력 강화,추가 기동력 증가,
S,알라마트 니 우르두자,전투,타격대,154,178,112,406,36,56,72,110,171,133,133,180,백병 공격력 증가,백병 공격력 증폭,총포류 구매 할인,백병 시 추가 백병,백병 명중 증가,백병 방어력 증폭,귀마개 착용,선원 긴급 치료 LV2,백병 치명타 피해 증폭,극독 백병,백병 공격 심화,,난전 백병: 중독 유발,강화 백병: 키 손상 유발 LV2,난전 백병: 내전 유발
S,알베르트,교역,식품상,39,59,104,82,196,167,131,138,403,158,134,144,의술 회복량 증가,식료품 거래 전문,조미료 거래 우대,백병 피해 무시,조미료 거래 전문,식료품 구매 할인,기회 포착,식료품 판매 할증,식료품 판매 달인,조미료 거래 달인,,,백병 공격력 강화,행동 봉쇄,
S,알프레드 로우,모험,위생사,82,39,107,59,138,172,161,372,191,117,148,158,포격 회피 증가,고양이 애호,신들린 수완,신출귀몰,쥐 해소,빗물 모으기,굳건한 마음,명성 추구,꼼꼼한 탐험가,채집 심화,,,정화: 전투태세,추가 기동력 증가,
S,에드워드 티치,전투,대사수,411,156,112,183,157,168,137,137,35,111,71,68,포격 회피 증가,포격 회피 증폭,무기류 판매 할증,포격 시 추가 고정 피해,포격 명중 증가,포격 명중 증폭,가면을 쓴 약탈자,포격 시 추가 포격 LV2,포격 치명타 피해 증폭,극독 포격,,,광역 포격: 싸움 유발,포격: 방어 무시 LV2,
S,에르난 베리오,전투,조타장,161,374,124,137,65,104,43,80,182,124,141,157,충파 방어력 증가,충파 치명타 추가 피해,무기류 판매 할증,방어 무시 충파,충파 공격력 증가,충파 공격력 증폭,위생 관념,혼란 충파,충파 시 추가 고정 피해 심화,충파 치명타 피해 저항 증폭,,,충파: 혼란 유발,충파: 키 손상 유발,
S,오다 노부나가,전투,함포수,393,148,110,170,78,36,97,65,142,170,183,127,포격 공격력 증가,포격 공격력 증폭,방어 무시 포격,총포류 구매 할인,포격 방어력 증가,포격 방어력 증폭,포격 시 추가 포격,시작 시 상태이상 제거,포격 치명타 피해 증폭,포격 시 추가 고정 피해 심화,,,강화 포격: 돛 손상 유발,광역 포격: 싸움 유발,
S,오렐리,모험,수석 항해사,85,61,108,39,139,151,417,171,128,164,192,137,수리 회복량 증가,육분의 활용,달콤한 화술,채집 공부,무풍 해소,능숙한 돛 조종,시작 시 상태이상 제거,관찰 공부 LV2,탐험 물자 절약 심화,관찰 심화,,,백병: 혼란 유발,추가 기동력 증가 LV2,
S,오루츠 레이스,전투,조타원,177,409,111,155,91,74,55,44,111,159,149,199,충파 치명타 발생 증가,충파 치명타 발생 증폭,총포류 판매 할증,충파 피해 무시,충파 공격력 증가,충파 치명타 추가 피해,칭찬과 격려,충파 시 추가 고정 피해,충파 공격력 증폭 심화,충파 시 추가 고정 피해 심화,,,충파: 키 손상 유발,정밀 충파: 혼란 유발,
S,오즈월드 레밍톤,전투,조선공,114,168,390,147,79,65,39,95,147,168,190,126,수리 극대화 회복량 증가,충파 공격력 증폭,총포류 판매 할증,시작 시 기동력 회복량 증폭,수리 극대화 발생 증가,수리 회복량 증폭,섬유 판매 할증,내구도 증가,시작 시 최상급 수리,시작 시 이동력 추가 증가,,,수리: 전 범위,행동 봉쇄,
S,우미노 스텔라,교역,협상가,104,38,86,58,135,151,203,166,178,133,401,117,포격 회피 증가,기호품 거래 전문,온화한 협상,기호품 판매 할증,향수병 해소,기호품 구매 할인,내구도 증가,바가지의 달인 LV2,탁월한 협상,흥정의 기법,,,충파 위력 강화,백병: 방어 무시 LV2,
S,윌리엄 셜랜드,전투,조타장,173,396,116,151,58,96,38,86,182,132,141,173,충파 치명타 추가 피해,충파 방어력 증가,방어 무시 충파,공업품 구매 할인,충파 공격력 증가,충파 공격력 증폭,충파 시 추가 고정 피해 LV2,화물 점검,극독 충파,충파 시 추가 고정 피해 심화,,,광역 충파: 싸움 유발,충파: 방어 무시 LV2,
S,이칼 반 루벤,모험,수렵가,39,61,86,105,162,390,185,119,201,184,128,147,백병 회피 증가,탐험 물자 절약,심해 인양 기술자,숙련된 탐험가,낚시의 대가,호전적인 탐험가,백병 치명타 피해 저항,심해 인양 전문가,투쟁적인 탐험가,기회 창출,,,백병 공격력 강화,정밀 백병: 혼란 유발 LV2,
S,이토 리츠카,교역,투자가,102,38,86,58,180,130,158,184,155,133,139,348,포격 방어력 증가,무기류 거래 전문,무기류 거래 우대,방어 무시 백병,화물 도난 해소,무기류 구매 달인,백병 피해 무시,무기류 판매 할증 LV2,다정한 협상,바가지의 현인,,,백병: 키 손상 유발,백병 공격력 강화 LV2,
S,입부,전투,조타수,166,364,124,133,147,124,190,166,83,60,41,95,충파 공격력 증가,충파 공격력 증폭,잡화 판매 할증,방어 무시 충파,충파 방어력 증가,충파 방어력 증폭,규칙적인 생활,충파 시 추가 고정 피해,충파 치명타 피해 증폭,극독 충파,충파 공격 심화,,충파: 키 손상 유발,광역 충파: 싸움 유발,광역 충파: 내전 유발
S,잔 다르크,전투,특공대,151,178,114,401,159,171,119,151,54,44,90,89,백병 회피 증가,백병 회피 증폭,무기류 판매 할증,방어 무시 백병,백병 명중 증가,백병 명중 증폭,칭찬과 격려,선원 긴급 치료 LV2,백병 공격력 증폭 심화,대혼란 백병,,,백병: 방어 무시,정밀 백병: 혼란 유발 LV2,
S,장 플뢰리,전투,함포수,409,150,101,177,75,33,94,68,134,172,172,132,포격 공격력 증가,포격 공격력 증폭,귀금속 판매 할증,방어 무시 포격,포격 방어력 증가,포격 방어력 증폭,기상 관측가,포격 피해 무시,포격 치명타 피해 증폭,이동 억제 포격,,,포격: 혼란 유발,강화 포격: 돛 손상 유발,
S,장금,전투,전문의,173,117,396,145,58,44,96,86,166,176,124,145,의술 회복량 증가,포격 방어력 증폭,충파 피해 무시,시작 시 상급 의술,의술 극대화 회복량 증가,포격 피해 반사,규칙적인 생활,이동 전 기동력 소모 감소,시작 시 최상급 의술,시작 시 기동력 추가 회복,,,의술: 전 범위,충파 위력 강화,
S,전우치,교역,주류상,40,61,82,104,188,165,125,140,125,366,146,167,백병 방어력 증가,주류 거래 전문,주류 거래 우대,이동 전 기동력 소모 감소,욕구불만 해소,주류 구매 할인,기회 포착,귀금속 판매 할증,주류 판매 달인,귀금속 거래 달인,,,기술 봉쇄,행동 봉쇄,
S,제임스 쿡,모험,조범수,99,39,82,62,181,372,136,138,134,175,157,165,방어력 증가,장애물 탐지,능숙한 돛 조종,시작 전 이동력 증폭,암초 해소,능숙한 노 젓기,신출귀몰,심해 인양 전문가,투쟁적인 탐험가,관찰 채집,,,백병: 키 손상 유발,행동 봉쇄,
S,조커 다실버,전투,설계사,150,131,324,172,117,126,78,107,100,87,140,129,수리 회복량 증가,백병 공격력 증폭,무기류 판매 할증,내구도 증가,수리 극대화 회복량 증가,기술 봉쇄 백병,귀마개 착용,시작 시 상급 수리,시작 시 최상급 수리,시작 시 상태이상 추가 제거,,,수리: 전 범위,행동 봉쇄,
S,존 호킨스,전투,대사수,398,150,113,172,160,170,140,132,37,107,74,64,포격 회피 증가,포격 회피 증폭,해양 생태 연구,포격 시 추가 포격,포격 명중 증가,포격 명중 증폭,시작 시 상태이상 제거,포격 시 추가 고정 피해,포격 치명타 피해 증폭,대혼란 포격,포격 치명타 피해 증가,,강화 포격: 돛 손상 유발,포격: 방어 무시,광역 포격: 내전 유발
S,죽음의 신 루돌프,전투,백병대,150,172,113,398,120,132,160,194,93,86,55,44,백병 치명타 발생 증가,백병 치명타 발생 증폭,귀금속 판매 할증,백병 시 추가 백병,백병 공격력 증가,백병 치명타 추가 피해,이동 전 기동력 소모 감소,백병 시 추가 고정 피해,백병 공격력 증폭 심화,극독 백병,,,백병: 키 손상 유발,정밀 백병: 혼란 유발,
S,줄리 도비니,전투,타격대,145,171,110,359,41,55,83,104,179,128,139,159,백병 공격력 증가,백병 공격력 증폭,섬유 판매 할증,백병 시 추가 백병,백병 명중 증가,백병 방어력 증폭,기상 관측가,백병 시 추가 고정 피해,백병 치명타 피해 증폭,백병 피해 무효,매력적인 노래,백병 치명타 피해 증가,백병: 키 손상 유발,정밀 백병: 혼란 유발,백병: 혼돈 유발
S,진양옥,전투,백병대,148,174,113,393,117,132,156,191,90,87,54,43,백병 치명타 발생 증가,백병 치명타 발생 증폭,귀금속 구매 할인,방어 무시 백병,백병 공격력 증가,백병 치명타 추가 피해,이동 전 기동력 소모 감소,백병 시 추가 백병,백병 공격력 증폭 심화,대혼란 백병,,,강화 백병: 키 손상 유발,난전 백병: 중독 유발,
S,체사레 보르자,교역,협상가,104,38,82,58,132,144,199,167,184,134,414,117,포격 회피 증가,기호품 거래 전문,타고난 장사꾼,귀금속 판매 할증,향수병 해소,기호품 구매 할인,시작 시 상태이상 제거,기호품 판매 할증,탁월한 협상,후려치기의 현인,,,포격 위력 강화,광역 충파: 싸움 유발,
S,최무선,전투,대사수,388,150,113,167,165,170,144,129,37,107,75,62,포격 회피 증가,포격 회피 증폭,총포류 판매 할증,혼란 포격,포격 명중 증가,포격 명중 증폭,중재자,방어 무시 포격,포격 치명타 피해 증폭,포격 방어력 증폭 심화,,,포격: 방어 무시,광역 포격: 싸움 유발,
S,카라 룸루,교역,잡화상,81,36,107,58,155,194,177,122,409,128,181,117,포격 방어력 증가,잡화 거래 전문,달콤한 화술,기회 포착,수리 회복량 증가,잡화 구매 할인,내구도 증가,잡화 판매 할증,잡화 판매 달인,가축 거래 달인,,,추가 기동력 증가,강화 백병: 키 손상 유발,
S,카라 마우에,교역,잡화상,82,38,108,58,158,195,180,123,417,133,185,116,포격 방어력 증가,잡화 거래 전문,달콤한 화술,시작 시 상태이상 제거,수리 회복량 증가,잡화 구매 할인,시작 시 상급 수리,잡화 판매 할증 LV2,가축 거래 달인,잡화 판매 달인,,,공격력 증가,추가 기동력 증가 LV2,
S,카를라 리치에리,전투,특공대,154,173,114,411,154,171,116,154,54,43,90,91,백병 회피 증가,백병 회피 증폭,향신료 구매 할인,방어 무시 백병,백병 명중 증가,백병 명중 증폭,심해 튼튼한 로프,선원 긴급 치료 LV2,백병 공격력 증폭 심화,극독 백병,,,정밀 백병: 혼란 유발,백병: 방어 무시 LV2,
S,쿠알라 빈티 파하이비,모험,지리학자,39,107,86,60,417,173,139,137,149,171,128,182,방어력 증가,가면을 쓴 약탈자,온화한 협상,충파 치명타 피해 저항,채집의 달인,부지런한 탐험가,천해 튼튼한 로프,천해 인양 보물 사냥꾼 LV2,꼼꼼한 탐험가,관찰 심화,,,충파 위력 강화,행동 봉쇄 LV2,
S,크리스토발 콜론,모험,탐험가,38,62,86,101,136,388,159,153,148,186,170,122,백병 치명타 발생 증가,진귀한 탐험,능숙한 돛 조종,이동 전 기동력 소모 감소,채집의 달인,숙련된 탐험가,시작 전 이동력 증폭,명성 지향,노련한 탐험가,생물 채집,,,충파 위력 강화,행동 봉쇄,
S,크리스티나,전투,수련의,147,171,374,117,99,83,59,42,126,149,168,176,의술 극대화 발생 증가,충파 방어력 증폭,주류 판매 할증,시작 시 기동력 회복량 증폭,의술 회복량 증가,충파 피해 반사,무기류 판매 할증,시작 시 상급 의술,시작 시 최상급 의술,시작 시 기동력 추가 회복,,,의술: 전 범위,포격 위력 강화,
S,클라라 반 슈네,교역,순백의 상인,43,87,69,104,141,209,188,150,454,218,227,335,귀금속 판매 할증,바가지의 달인,달콤한 화술,기회 포착,잡화 판매 할증,신들린 수완,탐사의 기본,공예품 판매 할증 LV2,공예품 판매 달인,매혹적인 제안,,,행동 봉쇄,추가 기동력 감소 LV2,
S,클라스 라슨 플레밍,전투,조타장,176,406,117,156,58,98,39,88,187,135,145,178,충파 방어력 증가,충파 치명타 추가 피해,무기류 구매 할인,방어 무시 충파,충파 공격력 증가,충파 공격력 증폭,돌풍 해소,충파 피해 무시 LV2,충파 시 추가 고정 피해 심화,대혼란 충파,,,충파: 싸움 유발,충파: 혼란 유발 LV2,
S,토고 그리마니,전투,특공대,156,180,110,406,154,166,116,156,53,45,89,90,백병 회피 증가,백병 회피 증폭,향신료 구매 할인,방어 무시 백병,백병 명중 증가,백병 명중 증폭,천해 튼튼한 로프,선원 긴급 치료 LV2,백병 공격력 증폭 심화,대혼란 백병,,,백병: 방어 무시,난전 백병: 중독 유발 LV2,
S,토마스 튜,전투,조타수,172,398,113,146,140,113,180,172,75,66,37,104,충파 공격력 증가,충파 공격력 증폭,귀금속 판매 할증,방어 무시 충파,충파 방어력 증가,충파 방어력 증폭,위생 관념,충파 피해 무시,충파 치명타 피해 증폭,대혼란 충파,,,정밀 충파: 혼란 유발,광역 충파: 싸움 유발,
S,트레볼 에스티브라,모험,조범수,99,42,88,62,187,396,140,139,128,192,149,166,방어력 증가,장애물 탐지,긴축 배급,타고난 장사꾼,능숙한 노 젓기,암초 해소,포격 반격 강화,능숙한 돛 조종 LV2,투쟁적인 탐험가,생물 관찰,,,백병: 혼란 유발,충파: 키 손상 유발 LV2,
S,티노카틀,모험,수렵가,39,62,82,104,159,372,181,117,177,186,132,146,백병 회피 증가,탐험 물자 절약,능숙한 노 젓기,혼란 백병,낚시의 대가,호전적인 탐험가,시작 전 이동력 증폭,명성 지향,채집 우선 관찰,채집의 명인,,,백병: 키 손상 유발,수리: 전 범위,
S,페르난도 데마가야네스,모험,항해장,58,37,107,80,179,150,403,117,131,132,196,160,포격 회피 증가,암초 해소,긴축 배급,신출귀몰,해초 해소,장애물 탐지,시작 시 상급 수리,천해 인양 전문가,해적 척결,생물 관찰,,,백병: 혼란 유발,기술 봉쇄,
S,프랜시스 드레이크,모험,갑판장,83,62,101,39,159,163,409,125,204,144,181,117,포격 방어력 증가,중재자,능숙한 노 젓기,내구도 증가,싸움 해소,관찰 공부,시작 시 상급 수리,명성 추구,투쟁적인 탐험가,생물 관찰,,,백병: 혼란 유발,추가 기동력 증가,
S,하산,전투,백병대,151,180,114,406,119,133,159,195,90,90,54,45,백병 치명타 발생 증가,백병 치명타 발생 증폭,귀금속 구매 할인,방어 무시 백병,백병 공격력 증가,백병 치명타 추가 피해,이동 전 기동력 소모 감소,백병 시 추가 백병 LV2,백병 공격력 증폭 심화,백병 치명타 피해 증폭,,,백병: 키 손상 유발,정밀 백병: 혼란 유발 LV2,
S,하웰 데이비스,전투,타격대,152,179,101,409,38,50,76,109,175,134,136,181,백병 공격력 증가,백병 공격력 증폭,보석 판매 할증,방어 무시 백병,백병 명중 증가,백병 방어력 증폭,신출귀몰,선원 긴급 치료,백병 치명타 피해 증폭,백병 시 추가 고정 피해 심화,,,백병: 방어 무시,강화 백병: 키 손상 유발,
S,하코보 포르툰데,교역,광물상,81,103,63,37,132,148,199,163,155,165,398,113,충파 방어력 증가,광석 거래 전문,광석 거래 우대,기회 포착,치명적인 충파,광석 구매 할인,백병 피해 무시,광석 판매 할증,가축 판매 달인,공예품 거래 달인,,,충파 위력 강화,기술 봉쇄,
S,호레이쇼 넬슨,전투,조타장,177,409,111,155,55,93,36,88,167,136,130,177,충파 방어력 증가,충파 치명타 추가 피해,충파 시 추가 고정 피해,방어 무시 충파,충파 공격력 증가,충파 공격력 증폭,신출귀몰,혼란 충파,충파 시 추가 고정 피해 심화,극독 충파,,,충파: 방어 무시,광역 충파: 싸움 유발,
S,황진,모험,예술학자,58,38,86,101,414,129,184,136,165,134,124,183,백병 방어력 증가,재력 추구,능숙한 돛 조종,백병 시 추가 고정 피해,낚시꾼,명성 추구,신출귀몰,백병 피해 반사,성실한 탐험가,전투적인 채집,,,충파: 혼란 유발,추가 기동력 증가,
A,가르시아 알바레스,교역,잡화상,39,20,56,31,72,100,82,58,201,73,89,62,포격 방어력 증가,잡화 거래 전문,공업품 거래 우대,향신료 판매 할증,수리 회복량 증가,잡화 구매 할인,기술 봉쇄 포격,잡화 판매 할증,잡화 거래 달인,공업품 판매 달인,,,포격 위력 강화,백병: 키 손상 유발,
A,가스팔 신트라,전투,수련의,73,88,198,58,49,44,29,21,59,77,79,87,의술 극대화 발생 증가,충파 방어력 증폭,직물 구매 할인,시작 시 상급 의술,의술 회복량 증가,충파 피해 반사,영양사,시작 시 기동력 회복량 증폭,시작 시 최상급 의술,의약품 판매 달인,,,의술: 전 범위,기술 봉쇄,
A,가스팔 피렐리,교역,협상가,53,19,42,29,66,74,99,85,88,67,199,59,포격 회피 증가,기호품 거래 전문,주류 판매 할증,기호품 판매 할증,향수병 해소,기호품 구매 할인,치명적인 포격,무기류 판매 할증,매혹적인 제안,기호품 판매 달인,,,광역 충파: 싸움 유발,백병: 키 손상 유발,
A,가이타나,전투,특공대,74,86,57,201,81,86,61,74,27,21,46,44,백병 회피 증가,백병 회피 증폭,온화한 협상,백병 피해 반사,백병 명중 증가,백병 명중 증폭,세이렌 해소,선원 긴급 치료,백병 방어력 증폭 심화,무기류 구매 달인,,,백병: 방어 무시,정밀 백병: 혼란 유발,
A,가타쿠라 가게쓰나,전투,대사수,199,76,55,86,78,83,68,66,17,54,35,32,포격 회피 증가,포격 회피 증폭,공업품 판매 할증,포격 시 추가 포격,포격 명중 증가,포격 명중 증폭,기상 관측가,혼란 포격,포격 공격력 증폭 심화,총포류 구매 달인,,,포격: 방어 무시,포격: 혼란 유발,
A,가토 기요마사,전투,특공대,74,86,54,194,83,81,62,74,28,21,47,43,백병 회피 증가,백병 회피 증폭,광석 거래 우대,혼란 백병,백병 명중 증가,백병 명중 증폭,식자재 관리,백병 시 추가 고정 피해,공격 시 백병 방어력 하락,이동 억제 백병,,,정밀 백병: 혼란 유발,강화 백병: 키 손상 유발,
A,공손포월,모험,항해장,32,21,48,44,76,67,171,64,60,74,91,89,포격 회피 증가,암초 해소,기술 봉쇄 포격,능숙한 돛 조종,해초 해소,장애물 탐지,조미료 판매 할증,긴축 배급,긴축 배식,대혼란 포격,,,포격 위력 강화,백병: 혼란 유발,
A,구스타브 2세 아돌프,전투,함포수,194,73,54,86,39,18,49,32,72,83,93,64,포격 공격력 증가,포격 공격력 증폭,총포류 거래 우대,혼란 포격,포격 방어력 증가,포격 방어력 증폭,섬유 판매 할증,포격 시 추가 고정 피해,포격 치명타 피해 증폭,총포류 구매 달인,,,포격: 키 손상 유발,정밀 포격: 혼란 유발,
A,구키 요시타카,전투,설계사,75,60,186,88,62,72,41,53,50,40,71,66,수리 회복량 증가,백병 공격력 증폭,총포류 거래 우대,시작 시 상급 수리,수리 극대화 회복량 증가,기술 봉쇄 백병,규칙적인 생활,내구도 증가,시작 시 최상급 수리,잡화 구매 달인,,,수리: 전 범위,포격 위력 강화,
A,권준,전투,특공대,73,86,56,194,82,85,62,73,28,21,47,43,백병 회피 증가,백병 회피 증폭,무기류 거래 우대,혼란 백병,백병 명중 증가,백병 명중 증폭,기호품 판매 할증,백병 피해 무시,공격 시 백병 방어력 하락,가축 구매 달인,백병 공격 심화,,백병: 혼란 유발,난전 백병: 중독 유발,백병: 돛 파괴 유발
A,김조이,모험,상담사,32,43,46,22,57,65,76,194,70,97,62,68,백병 회피 증가,싸움 해소,공예품 구매 할인,칭찬과 격려,향수병 해소,심리 상담,기술 봉쇄 충파,소방 훈련,꼼꼼한 탐험가,공격 시 백병 공격력 하락,,,추가 기동력 감소,정밀 충파: 혼란 유발,
A,김홍도,모험,예술학자,29,21,43,47,201,64,89,69,86,74,64,85,백병 방어력 증가,재력 추구,타고난 장사꾼,향신료 판매 할증,낚시꾼,명성 추구,피해 반사,명성 지향,향신료 구매 달인,성실한 탐험가,,,백병: 혼란 유발,행동 봉쇄,
A,노국공주,모험,위생사,41,18,53,29,66,85,77,186,99,56,77,78,포격 회피 증가,고양이 애호,공격 시 포격 회피 하강,중재자,쥐 해소,빗물 모으기,포격 반격 강화,능숙한 노 젓기,채집의 명인,포격 치명타 피해 저항 증폭,,,기술 봉쇄,포격: 키 손상 유발,
A,다가와 시치자에몬,전투,백병대,75,86,56,196,60,66,80,97,46,43,27,21,백병 치명타 발생 증가,백병 치명타 발생 증폭,매력적인 제안,백병 피해 무시,백병 공격력 증가,백병 치명타 추가 피해,세이렌 해소,행동 전 치명타 발생 증폭,극독 백병,백병 피해 무효,,,강화 백병: 키 손상 유발,백병: 중독 유발,
A,다라 쉰,교역,향료상,51,18,42,29,88,63,77,93,79,167,90,59,포격 공격력 증가,향료 거래 전문,향신료 거래 우대,수영 금지령,향신료 거래 전문,향료 구매 할인,시작 시 기동력 회복량 증가,향료 판매 할증,향료 거래 달인,향신료 판매 달인,,,정밀 포격: 혼란 유발,백병: 키 손상 유발,
A,돈 후안 데아우스트리아,전투,조타수,86,194,56,75,70,56,90,86,37,32,18,53,충파 공격력 증가,충파 공격력 증폭,무기류 구매 할인,충파 시 추가 고정 피해,충파 방어력 증가,충파 방어력 증폭,수영 금지령,방어 무시 충파,충파 치명타 피해 증폭,공업품 구매 달인,,,정밀 충파: 혼란 유발,충파: 방어 무시,
A,디안 드푸아티에,교역,회계사,51,29,42,19,99,85,66,72,90,58,79,172,포격 공격력 증가,공업품 거래 전문,공업품 거래 우대,칭찬과 격려,총포류 거래 전문,공업품 구매 할인,혼란 시 보호 발동,공업품 판매 할증,경이로운 수완,공업품 판매 달인,,,포격 위력 강화,정밀 충파: 혼란 유발,
A,디에고 데아라나,교역,주류상,19,29,42,51,99,85,66,69,66,178,77,82,백병 방어력 증가,주류 거래 전문,주류 거래 우대,규칙적인 생활,욕구불만 해소,주류 구매 할인,기술 봉쇄 백병,주류 판매 할증,주류 거래 달인,주류 판매 달인,거점 방어,주류 판매 특별 할증,포격: 혼란 유발,백병: 키 손상 유발,포격: 키 파괴 유발
A,레베카 카틀란드,전투,설계사,73,59,200,85,61,78,41,52,50,39,70,64,수리 회복량 증가,백병 공격력 증폭,뛰어난 협상,시작 시 상급 수리,수리 극대화 회복량 증가,기술 봉쇄 백병,귀마개 착용,내구도 증가,시작 시 최상급 수리,염료 구매 달인,,,수리: 전 범위,충파 위력 강화,
A,레오 볼드윈,전투,조타장,85,203,58,73,29,48,19,42,91,67,70,84,충파 방어력 증가,충파 치명타 추가 피해,온화한 협상,충파 시 추가 고정 피해,충파 공격력 증가,충파 공격력 증폭,주의깊은 탐험가,방어 무시 충파 LV2,충파 시 추가 고정 피해 심화,식료품 구매 달인,,,충파: 돛 손상 유발,충파: 키 손상 유발 LV2,
A,루이 앙투안 드부갱빌,모험,갑판장,41,30,53,18,78,86,201,62,97,71,86,56,포격 방어력 증가,중재자,타고난 장사꾼,능숙한 노 젓기,싸움 해소,관찰 공부,포격 피해 반사,긴축 배급,노련한 돛 조종,포격 치명타 피해 저항 증폭,,,포격: 키 손상 유발,기술 봉쇄,
A,루이 코스타,교역,보석상,30,51,41,19,65,73,98,81,89,62,201,67,충파 공격력 증가,보석 거래 전문,보석 거래 우대,털모자 배급,귀금속 거래 전문,보석 구매 할인,행동 전 공격력 증폭,보석 판매 할증,보석 거래 달인,귀금속 판매 달인,,,정화: 전투태세,행동 봉쇄,
A,루크레치아 보르자,교역,염료상,20,31,42,46,88,63,77,90,231,62,89,65,백병 방어력 증가,염료 거래 전문,염료 거래 우대,기호품 판매 할증,오염 해소,염료 구매 할인,행동 전 공방 위력 증폭,염료 판매 할증,염료 거래 달인,기호품 판매 달인,,,포격 위력 강화,백병: 키 손상 유발,
A,루프마티,모험,상담사,28,39,53,20,67,75,89,170,85,89,74,61,백병 회피 증가,싸움 해소,행동 전 치명타 발생 증폭,긴축 배급,향수병 해소,심리 상담,기술 봉쇄 백병,능숙한 노 젓기,꼼꼼한 탐험가,백병 치명타 피해 저항 증폭,공격 봉쇄 백병,,충파 위력 강화,정밀 충파: 혼란 유발,백병: 혼돈 유발
A,마르거리트 드발루아,교역,회계사,52,29,43,18,99,86,66,73,89,59,78,167,포격 공격력 증가,공업품 거래 전문,공업품 거래 우대,귀마개 착용,총포류 거래 전문,공업품 구매 할인,행동 전 공방 위력 증폭,공업품 판매 할증,경이로운 수완,공업품 판매 달인,,,충파 위력 강화,정밀 충파: 혼란 유발,
A,마리아 지빌라 메리안,모험,생물학자,19,29,51,41,201,62,78,78,65,79,76,94,의술 회복량 증가,채집의 달인,행동 전 공격력 증폭,명성 추구,해양 생태 연구,맹수 사냥,행동 전 치명타 발생 증폭,심해 인양 보물 사냥꾼,가축 구매 달인,성실한 탐험가,험지 채집,,포격: 키 손상 유발,광역 충파: 싸움 유발,충파: 키 파괴 유발
